,time,vib,Status,Type
0,0.0,0.5232734,5,IR028
1,8.333333333333333e-05,-0.32958899999999997,5,IR028
2,0.00016666666666666666,-0.4850248,5,IR028
3,0.00025,-0.9020973,5,IR028
4,0.0003333333333333333,-1.5511028,5,IR028
5,0.00041666666666666664,-1.3362596000000002,5,IR028
6,0.0005,0.0472004,5,IR028
7,0.0005833333333333333,0.9016904,5,IR028
8,0.0006666666666666666,-0.11637339999999999,5,IR028
9,0.00075,-0.7405579999999999,5,IR028
10,0.0008333333333333333,1.0107396,5,IR028
11,0.0009166666666666666,1.908361,5,IR028
12,0.001,0.0480142,5,IR028
13,0.0010833333333333333,-0.7759583000000001,5,IR028
14,0.0011666666666666665,0.6762678000000001,5,IR028
15,0.00125,0.7092267,5,IR028
16,0.0013333333333333333,-1.0709608,5,IR028
17,0.0014166666666666666,-1.2316863,5,IR028
18,0.0015,0.43660370000000004,5,IR028
19,0.0015833333333333333,1.0103327,5,IR028
20,0.0016666666666666666,-0.20833279999999998,5,IR028
21,0.00175,-1.0681125,5,IR028
22,0.0018333333333333333,-0.443521,5,IR028
23,0.0019166666666666666,0.4508452,5,IR028
24,0.002,0.0801593,5,IR028
25,0.0020833333333333333,-0.6978335,5,IR028
26,0.0021666666666666666,-0.1391598,5,IR028
27,0.00225,0.6144189999999999,5,IR028
28,0.002333333333333333,-0.0764972,5,IR028
29,0.002416666666666667,-0.5895981,5,IR028
30,0.0025,0.7198061,5,IR028
31,0.0025833333333333333,1.5653443,5,IR028
32,0.0026666666666666666,0.22420189999999998,5,IR028
33,0.00275,-1.0042292,5,IR028
34,0.002833333333333333,-0.2343744,5,IR028
35,0.0029166666666666664,0.882973,5,IR028
36,0.003,0.34138909999999995,5,IR028
37,0.0030833333333333333,-0.5936670999999999,5,IR028
38,0.0031666666666666666,-0.183105,5,IR028
39,0.00325,0.39143779999999995,5,IR028
40,0.003333333333333333,-0.101725,5,IR028
41,0.0034166666666666664,-0.7271303000000001,5,IR028
42,0.0035,-0.48176959999999996,5,IR028
43,0.0035833333333333333,0.3641755,5,IR028
44,0.0036666666666666666,0.5733221,5,IR028
45,0.00375,-0.2591953,5,IR028
46,0.003833333333333333,-0.7157371,5,IR028
47,0.003916666666666666,-0.06429019999999999,5,IR028
48,0.004,0.7523581,5,IR028
49,0.004083333333333333,0.7775859,5,IR028
50,0.004166666666666667,-0.0109863,5,IR028
51,0.0042499999999999994,-0.4573556,5,IR028
52,0.004333333333333333,-0.2884921,5,IR028
53,0.004416666666666667,-0.5948878000000001,5,IR028
54,0.0045,-0.748696,5,IR028
55,0.004583333333333333,0.31249920000000003,5,IR028
56,0.004666666666666666,1.1397268999999999,5,IR028
57,0.00475,0.7181784999999999,5,IR028
58,0.004833333333333334,-0.00040689999999999997,5,IR028
59,0.004916666666666666,-0.41625870000000004,5,IR028
60,0.005,-0.5863429,5,IR028
61,0.005083333333333333,-0.7031232,5,IR028
62,0.005166666666666667,-0.3369132,5,IR028
63,0.0052499999999999995,0.2514642,5,IR028
64,0.005333333333333333,0.1855464,5,IR028
65,0.005416666666666667,0.31697509999999995,5,IR028
66,0.0055,1.0262018,5,IR028
67,0.005583333333333333,0.5367010999999999,5,IR028
68,0.005666666666666666,-0.8288553,5,IR028
69,0.00575,-0.3006991,5,IR028
70,0.005833333333333333,0.9090146000000001,5,IR028
