time,vib,Status,Type
0.0,0.1066,1,Normal
8.333333333333334e-05,0.10389,1,Normal
0.0001666666666666667,0.055909,1,Normal
0.00025,-0.0020862,1,Normal
0.0003333333333333334,-0.023156,1,Normal
0.0004166666666666668,0.0047982,1,Normal
0.0005,0.030249,1,Normal
0.0005833333333333334,0.021905,1,Normal
0.0006666666666666668,0.014186,1,Normal
0.0007500000000000001,0.025868,1,Normal
0.0008333333333333335,0.058829999999999986,1,Normal
0.0009166666666666668,0.097423,1,Normal
0.001,0.11766,1,Normal
0.0010833333333333335,0.087827,1,Normal
0.0011666666666666668,0.02107,1,Normal
0.0012500000000000002,-0.00020862,1,Normal
0.0013333333333333335,0.030249,1,Normal
0.0014166666666666668,0.06592200000000001,1,Normal
0.0015000000000000002,0.070512,1,Normal
0.0015833333333333335,0.053197,1,Normal
0.001666666666666667,0.042975,1,Normal
0.0017500000000000007,0.044018,1,Normal
0.0018333333333333333,0.069678,1,Normal
0.0019166666666666672,0.084489,1,Normal
0.002,0.05278,1,Normal
0.0020833333333333337,-0.015646,1,Normal
0.002166666666666667,-0.074476,1,Normal
0.0022500000000000003,-0.094503,1,Normal
0.0023333333333333327,-0.091791,1,Normal
0.0024166666666666672,-0.082612,1,Normal
0.0025000000000000005,-0.08407200000000001,1,Normal
0.0025833333333333337,-0.097423,1,Normal
0.002666666666666667,-0.10744,1,Normal
0.0027500000000000003,-0.084906,1,Normal
0.0028333333333333327,-0.044644,1,Normal
0.0029166666666666672,-0.040263,1,Normal
0.0030000000000000005,-0.069678,1,Normal
0.0030833333333333338,-0.10222,1,Normal
0.003166666666666667,-0.11703,1,Normal
0.0032500000000000003,-0.086784,1,Normal
0.003333333333333334,-0.032335,1,Normal
0.0034166666666666672,-0.011682,1,Normal
0.0035000000000000005,-0.024408000000000003,1,Normal
0.0035833333333333338,-0.044435,1,Normal
0.003666666666666667,-0.049233,1,Normal
0.00375,-0.027746,1,Normal
0.0038333333333333344,-0.010848,1,Normal
0.003916666666666667,-0.027329000000000003,1,Normal
0.004,-0.06675700000000001,1,Normal
0.004083333333333335,-0.093251,1,Normal
0.004166666666666668,-0.092417,1,Normal
0.00425,-0.052988,1,Normal
0.004333333333333334,0.0012517,1,Normal
0.004416666666666667,0.014394,1,Normal
0.0045000000000000005,-0.0085532,1,Normal
0.004583333333333334,-0.0068843,1,Normal
0.004666666666666667,0.024617,1,Normal
0.004750000000000001,0.052571000000000014,1,Normal
0.0048333333333333344,0.0557,1,Normal
0.004916666666666667,0.034004,1,Normal
0.005000000000000001,0.0073015,1,Normal
0.005083333333333335,-0.021696,1,Normal
0.005166666666666668,-0.017524,1,Normal
0.00525,0.005424,1,Normal
0.005333333333333334,0.004589500000000001,1,Normal
0.005416666666666668,-0.026286,1,Normal
0.0055000000000000005,-0.049442,1,Normal
0.005583333333333334,-0.018984,1,Normal
0.005666666666666667,0.02858,1,Normal
0.005750000000000001,0.059038,1,Normal
0.005833333333333335,0.045687,1,Normal
0.005916666666666667,0.010431,1,Normal
0.006000000000000001,-0.010848,1,Normal
0.006083333333333335,0.0012517,1,Normal
0.006166666666666668,0.049233,1,Normal
0.006250000000000001,0.079274,1,Normal
0.006333333333333334,0.086784,1,Normal
0.006416666666666668,0.064671,1,Normal
0.006500000000000001,0.047982,1,Normal
0.006583333333333334,0.064045,1,Normal
0.006666666666666668,0.076353,1,Normal
0.006750000000000001,0.0799,1,Normal
0.006833333333333335,0.059873,1,Normal
0.006916666666666667,0.032961000000000004,1,Normal
0.007000000000000001,0.028998000000000006,1,Normal
0.007083333333333335,0.051528,1,Normal
0.007166666666666668,0.09346,1,Normal
0.007250000000000001,0.10910999999999997,1,Normal
0.007333333333333334,0.07092899999999999,1,Normal
0.007416666666666669,0.031501,1,Normal
0.0075000000000000015,0.014186,1,Normal
0.007583333333333334,0.030041,1,Normal
0.007666666666666669,0.061959,1,Normal
0.007750000000000002,0.047564,1,Normal
0.007833333333333335,0.03609,1,Normal
0.007916666666666667,0.039846,1,Normal
0.008,0.050485,1,Normal
0.008083333333333335,0.06425399999999999,1,Normal
0.00816666666666667,0.04673,1,Normal
0.00825,0.020653,1,Normal
0.008333333333333335,-0.03317,1,Normal
0.00841666666666667,-0.090122,1,Normal
0.0085,-0.10201,1,Normal
0.008583333333333335,-0.084906,1,Normal
0.008666666666666668,-0.06634,1,Normal
0.00875,-0.0557,1,Normal
0.008833333333333334,-0.042349,1,Normal
0.008916666666666668,-0.013977000000000002,1,Normal
0.009000000000000001,0.025451,1,Normal
0.009083333333333334,0.055491999999999986,1,Normal
0.009166666666666668,0.050694,1,Normal
0.00925,0.01961,1,Normal
0.009333333333333334,-0.0085532,1,Normal
0.009416666666666669,-0.031918,1,Normal
0.0095,-0.027329000000000003,1,Normal
0.009583333333333334,-0.01961,1,Normal
