datetime,machineID
1/5/2015 6:00,1
3/6/2015 6:00,1
4/20/2015 6:00,1
6/19/2015 6:00,1
9/2/2015 6:00,1
10/17/2015 6:00,1
12/16/2015 6:00,1
3/19/2015 6:00,2
4/18/2015 6:00,2
12/29/2015 6:00,2
1/7/2015 6:00,3
2/6/2015 6:00,3
7/21/2015 6:00,3
10/4/2015 6:00,3
12/3/2015 6:00,3
1/17/2015 6:00,4
2/16/2015 6:00,4
4/2/2015 6:00,4
7/16/2015 6:00,4
8/30/2015 6:00,4
10/14/2015 6:00,4
1/9/2015 6:00,5
2/23/2015 6:00,5
4/9/2015 6:00,5
6/23/2015 6:00,5
9/6/2015 6:00,5
10/6/2015 6:00,5
11/20/2015 6:00,5
1/24/2015 6:00,7
2/8/2015 6:00,7
4/24/2015 6:00,7
5/9/2015 6:00,7
5/24/2015 6:00,7
7/8/2015 6:00,7
9/21/2015 6:00,7
10/21/2015 6:00,7
12/20/2015 6:00,7
3/7/2015 6:00,8
3/22/2015 6:00,8
4/21/2015 6:00,8
8/4/2015 6:00,8
10/18/2015 6:00,8
3/4/2015 6:00,9
6/17/2015 6:00,9
7/2/2015 6:00,9
7/17/2015 6:00,9
8/31/2015 6:00,9
9/15/2015 6:00,9
10/15/2015 6:00,9
11/14/2015 6:00,9
12/14/2015 6:00,9
1/19/2015 6:00,10
4/4/2015 6:00,10
5/19/2015 6:00,10
6/3/2015 6:00,10
6/18/2015 6:00,10
1/20/2015 6:00,11
2/19/2015 6:00,11
4/20/2015 6:00,11
10/2/2015 6:00,11
12/16/2015 6:00,11
1/7/2015 6:00,12
3/23/2015 6:00,12
7/6/2015 6:00,12
9/4/2015 6:00,12
10/4/2015 6:00,12
4/11/2015 6:00,13
6/10/2015 6:00,13
6/25/2015 6:00,13
7/10/2015 6:00,13
8/9/2015 6:00,13
8/24/2015 6:00,13
9/23/2015 6:00,13
10/23/2015 6:00,13
12/7/2015 6:00,13
12/22/2015 6:00,13
1/31/2015 6:00,14
3/2/2015 6:00,14
7/15/2015 6:00,14
7/30/2015 6:00,14
1/20/2015 6:00,15
